basic,Rose,0xffE8ADAA,"The color rose always had a strong female association due to its warmth and softness."
basic,Powder Pink,0xffFFB2D0,"Mixture of pink and a little white.it also makes you feel sweetness and romance"
basic,Peach,0xffFFB07C,"Peach gives a sense of joy, warmness,considered as a positive,soft,and fruity color"
basic,Maroon,0xff650021,"Maroon is a very dark shade of red.feels like Passion,love,anger,energy and danger"
basic,Arty Click Magenta,0xffFF00FF,"Magenta is the color of emotional balance.It contains the passion and power of red."
basic,Navy,0xff01153E,"Navy is a very dark shade of blue, classic, royal, nautical, strong color"
basic,Baby Blue,0xffA2CFFE,"Baby blue like sky blue,used as the color for newborn males.Young,fresh,playful color"
basic,Royal Blue,0xff2B60DE,"Royal blue is a deep vivid blue. Its associated with open spaces ,inspiration and sensitivity"
basic,Light Grey,0xffD8DCD6,"Mixture of black and white like the clouds, mature, responsible, strict color “ the color of old ages ”"
basic,Dark Grey,0xff363737,"The color of asphalt, serious, formal, classic, conservative, and respectful color"
basic,Teal,0xff029386,"Teal is symbol of the infinity of the sea and sky.Represents clarity of thought"
basic,Light Olive Green,0xffA4BE5C,"A soft peaceful color and is widely used as a camouflage color especially in military"
basic,Dark Grass Green,0xff388004,"Dark Grass Green is like the color of the grass and leaves, natural, positive, grassy color"
basic,Aqua,0xff13EAC9,"Aqua is a variation of cyan that evokes feelings of water, refreshing, positivity, youth"
basic,Turquoise Blue,0xff6CDAE7,"Turquoise is a shade of blue color of oceans and water,positive,calmly,restful,cool color"
basic,Dark Orange,0xffFF8C00,"Afresh, youthful, and creative color.it also attracts attention as it used for warning signs"
basic,Pale Lime,0xffBEFD73,"pale Lime is a bright,shade of green, luminous, natural, positive, grassy color"
basic,Bright Gold,0xffFDD017,"Bright gold from yellow shades, positive,happy,comfort color"
basic,Sunny Yellow,0xffFFF917,"Sunny yellow is the color of sunshine and sunflowers, is an optimistic, playful, and happy color"
basic,Beige,0xffF5F5DC,"Beige is a light, sandy color, considered as calm,relaxing and dependable"
basic,Dark Violet,0xff9400D3,"Dark violet from the dark shades of purple a femine color, indicates to the creativity and wealth"
basic,Indigo,0xff4B0082,"indigo is a dark purplish blue, positive spiritual meditative nostalgic color"
basic,Purple Jam,0xff6A287E,"Purple jam from the dark shades of purple,smells like grape a rich, royal and regality color"
basic,Eggplant,0xff380835,"Eggplant from the dark shades of magenta dark purple, dramatic, royal, sensual color"
basic,Lavender,0xffB57EDC,"Lavender is the shade obtained by positive romantic nostalgic color, flowers in spring"
basic,Light Brown,0xffB5651D,"Light Brown from the light shades of wood with orange undertone, feel like a solid, earthy color"
basic,Persian Red,0xffCC3333,"Persian Red is a deep reddish orange color,a color of courage, anger, passion and love"
basic,Black,0xff000000,"The deepest color is black, which is similar to the color of darkness, elegant, little mysterious color"
basic,White Smoke,0xffffffff,"White smoke is a slightly gray shade of off white, silent, not pure and bright as white "
basic,Firebrick,0xff800517,"Firebrick like the color of blood and fire a color of courage, anger, passion and love"
Rose,Rose Taupe,0xff905D5D,"The color taupe is a shade from the rose color, often found in interiors that seek to be cozy and welcoming"
Rose,Dusty Rose,0xffC0737A,"Dusty Rose is soft and cozy color also adds depth and tranquility. usually associated with happiness."
Rose,Faded Pink,0xffDE9DAC," It makes you think of sensitivity, femininity, sweetness, and romance, making it quite a gentle color"
Rose,Misty Rose,0xffFFE4E1,“It’s a light shade of rose and also seems to femininity and romance”
Rose,Lemon Chiffon,0xffFFF8C6,"It's the lightest shade of yellow. It’s a positive, calm, neutral, smooth color"
Rose,Brass,0xffB5A642,"Brass belongs to the family of olive green, used in painting metals and instruments. positive, neutral, warm color"
Rose,Very Pale Green,0xffCFFDBC,"very pale green from the lightest shade of green.positive ,calm ,neutral ,natural ,smooth color"
Rose,Grey Green,0xff789B73,"Grey green is from the shades of pastel green, color of trees and grass, positive, calm, natural color"
Rose,Heathered Grey,0xffB6B095,"The word Heather refers to a soft, muted color caused by blending different fibers into one yarn"
Rose,Dark Blue Green,0xff005249,"It represents cool calmness and peace, Because the color is commonly found in nature from fish "
Powder Pink,Milk White,0xffFEFCFF,"White has been elected as a symbol of goodness, spirituality, purity, godliness, and sacredness"
Powder Pink,Peach Schnapps,0xffFFDCD6,"peach gives a sense of joy, warmness. considered as a positive, soft and fruity color"
Powder Pink,Dark Pink,0xffE75480,”Mixture of pink and a little blue. it also makes you feel sweetness and romance”
Powder Pink,Salmon Pink,0xffFE7B7C,"salmon pink is considered a hopeful color and a signal of health and happiness."
Powder Pink,Dairy Cream,0xffF9E4BC,"Dairy Cream is a quiet and pleasant shade, cream is neutral, calm and relaxing"
Powder Pink,Vanilla,0xffD1BEA8,"Vanilla color is a very light shade of brown a warm, calm, classic, smooth color"
Powder Pink,Light Grey,0xffD8DCD6," Mixture of black and white like the clouds, mature, responsible, strict color “the color of old ages” "
Powder Pink,Jagged Ice,0xffC2E8E5,"Light shade of baby blue with a little tone of cyan color, young, refreshing, cool color"
Powder Pink,Fountain Blue,0xff56B4BE,"Fountain Blue color is young, refreshing, cool color. It is a mixture of cyan color."
Powder Pink,Dark blue Grey,0xff1F3B4D,"Dark blue grey is classic, royal, nautical, strong color"
Peach,Beige,0xffF5F5DC," Beige is a light, sandy color, considered as calm, relaxing and dependable "
